Video name,Codec,Timestamp,CPU_Usage(%),Memory_Usage(MB)
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015436.7368917,0.0,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015436.9372582,23.0,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015437.1375062,38.5,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015437.3379896,25.1,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015437.5384693,38.5,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015437.7389615,0.0,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015437.9393868,46.0,45.8515625
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015438.1396096,46.2,45.85546875
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015438.340311,69.3,45.85546875
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015438.540488,33.4,45.85546875
kaaholmen_merd6_2018_11_28_17_00_01,mjpeg,1699015438.7411208,23.1,45.85546875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015439.3498306,0.0,314.7265625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015439.5514998,323.3,445.87890625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015439.7523065,738.9,600.8984375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015439.9540129,1031.4,683.40234375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015440.1581256,1393.2,719.46484375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015440.360349,1116.1,724.515625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015440.5631785,1386.3,725.4140625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015440.76502,1362.4,726.2578125
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015440.966168,1208.4,727.10546875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015441.1675737,900.6,727.6328125
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015441.3699083,994.3,728.1015625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015441.5704792,1348.0,728.6171875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015441.772152,1077.6,728.9609375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015441.9792273,1085.3,729.41015625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015442.1797965,1062.2,729.66796875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015442.3822982,854.4,729.7734375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015442.5916667,934.6,729.859375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015442.7974093,1285.4,729.859375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015442.9999826,1316.2,736.55859375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015443.2065513,1377.8,754.99609375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015443.4096723,1154.6,787.48046875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015443.6110227,1000.6,819.2109375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015443.812175,857.8,835.3984375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015444.01286,738.9,843.7109375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015444.2134402,426.1,844.63671875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015444.4158106,585.0,846.03125
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015444.6165853,654.2,846.91796875
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015444.817014,582.1,847.17578125
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015445.0182917,808.2,847.234375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015445.2196722,839.0,847.234375
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015445.4209566,731.2,841.28515625
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015445.6238537,592.7,835.25
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015445.8240664,315.6,835.25
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015446.0244067,357.4,835.25
kaaholmen_merd6_2018_11_28_17_00_01,libx264,1699015446.2252674,623.5,835.25390625
pexels-kindel-media-8823187 (2160p),mjpeg,1699015446.869316,0.0,110.19921875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015447.0709946,99.6,110.19921875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015447.2716615,77.0,110.19921875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015447.47209,61.6,110.203125
pexels-kindel-media-8823187 (2160p),mjpeg,1699015447.6726272,38.5,122.08203125
pexels-kindel-media-8823187 (2160p),mjpeg,1699015447.8732944,46.2,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015448.0736008,66.5,98.3515625
pexels-kindel-media-8823187 (2160p),mjpeg,1699015448.274071,69.3,98.3515625
pexels-kindel-media-8823187 (2160p),mjpeg,1699015448.4762726,38.5,116.6484375
pexels-kindel-media-8823187 (2160p),mjpeg,1699015448.6771333,46.2,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015448.877339,61.6,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015449.0777297,69.3,117.09375
pexels-kindel-media-8823187 (2160p),mjpeg,1699015449.278717,38.5,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015449.4790285,66.5,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015449.6794755,30.8,98.3515625
pexels-kindel-media-8823187 (2160p),mjpeg,1699015449.8798802,38.5,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015450.080612,38.5,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015450.2812257,38.5,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015450.4816663,146.2,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015450.6821773,41.6,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015450.882598,69.3,110.21875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015451.0830002,107.8,98.35546875
pexels-kindel-media-8823187 (2160p),mjpeg,1699015451.2832942,61.6,110.22265625
pexels-kindel-media-8823187 (2160p),mjpeg,1699015451.4838638,123.2,110.22265625
pexels-kindel-media-8823187 (2160p),libx264,1699015452.0758944,0.0,281.07421875
pexels-kindel-media-8823187 (2160p),libx264,1699015452.2770572,0.0,620.12109375
pexels-kindel-media-8823187 (2160p),libx264,1699015452.4774537,16.6,902.2578125
pexels-kindel-media-8823187 (2160p),libx264,1699015452.6780026,84.7,1110.15625
pexels-kindel-media-8823187 (2160p),libx264,1699015452.8783574,46.2,1114.73828125
pexels-kindel-media-8823187 (2160p),libx264,1699015453.0787616,30.8,1119.359375
pexels-kindel-media-8823187 (2160p),libx264,1699015453.2789938,84.7,1124.0859375
pexels-kindel-media-8823187 (2160p),libx264,1699015453.479615,66.5,1135.5703125
pexels-kindel-media-8823187 (2160p),libx264,1699015453.680007,230.9,1330.10546875
pexels-kindel-media-8823187 (2160p),libx264,1699015453.8805723,323.3,1496.5390625
pexels-kindel-media-8823187 (2160p),libx264,1699015454.0812385,361.8,1676.921875
pexels-kindel-media-8823187 (2160p),libx264,1699015454.2827153,592.7,1823.23046875
pexels-kindel-media-8823187 (2160p),libx264,1699015454.4862435,977.5,1986.62890625
pexels-kindel-media-8823187 (2160p),libx264,1699015454.687207,942.1,2134.03515625
pexels-kindel-media-8823187 (2160p),libx264,1699015454.8876216,1377.8,2299.2734375
pexels-kindel-media-8823187 (2160p),libx264,1699015455.0895247,1470.1,2399.3125
pexels-kindel-media-8823187 (2160p),libx264,1699015455.3031044,1400.9,2494.1484375
pexels-kindel-media-8823187 (2160p),libx264,1699015455.5076783,1331.6,2597.4296875
pexels-kindel-media-8823187 (2160p),libx264,1699015455.729736,1491.2,2685.6484375
pexels-kindel-media-8823187 (2160p),libx264,1699015455.9323082,1393.2,2752.67578125
pexels-kindel-media-8823187 (2160p),libx264,1699015456.1410153,1334.2,2825.83203125
pexels-kindel-media-8823187 (2160p),libx264,1699015456.3426027,1424.0,2901.0625
pexels-kindel-media-8823187 (2160p),libx264,1699015456.546261,1400.9,2932.328125
pexels-kindel-media-8823187 (2160p),libx264,1699015456.7517102,1300.8,2957.6640625
pexels-kindel-media-8823187 (2160p),libx264,1699015456.9578362,1347.0,2979.72265625
pexels-kindel-media-8823187 (2160p),libx264,1699015457.1684093,1184.4,2997.8203125
pexels-kindel-media-8823187 (2160p),libx264,1699015457.37398,1239.2,2992.2578125
pexels-kindel-media-8823187 (2160p),libx264,1699015457.6457293,1274.7,3011.9375
pexels-kindel-media-8823187 (2160p),libx264,1699015457.8614252,1218.5,3005.10546875
pexels-kindel-media-8823187 (2160p),libx264,1699015458.1120133,1381.2,3011.62890625
pexels-kindel-media-8823187 (2160p),libx264,1699015458.3681204,1406.2,3031.78125
pexels-kindel-media-8823187 (2160p),libx264,1699015458.5807047,1448.3,3036.07421875
pexels-kindel-media-8823187 (2160p),libx264,1699015458.790706,1493.2,3045.078125
pexels-kindel-media-8823187 (2160p),libx264,1699015458.9995286,1355.6,3059.125
pexels-kindel-media-8823187 (2160p),libx264,1699015459.203207,1470.1,3072.41015625
pexels-kindel-media-8823187 (2160p),libx264,1699015459.421257,1519.7,3087.17578125
pexels-kindel-media-8823187 (2160p),libx264,1699015459.6226544,1500.9,3101.01953125
pexels-kindel-media-8823187 (2160p),libx264,1699015459.8378782,1616.4,3101.9765625
pexels-kindel-media-8823187 (2160p),libx264,1699015460.0391595,1393.2,3127.671875
pexels-kindel-media-8823187 (2160p),libx264,1699015460.2467315,1448.3,3134.27734375
pexels-kindel-media-8823187 (2160p),libx264,1699015460.4477983,1579.1,3145.88671875
pexels-kindel-media-8823187 (2160p),libx264,1699015460.658261,1297.3,3169.0078125
pexels-kindel-media-8823187 (2160p),libx264,1699015460.8638587,1547.1,3179.9453125
pexels-kindel-media-8823187 (2160p),libx264,1699015461.0693278,1539.5,3178.015625
pexels-kindel-media-8823187 (2160p),libx264,1699015461.2889166,1526.7,3201.65234375
pexels-kindel-media-8823187 (2160p),libx264,1699015461.4949212,1493.2,3210.12109375
pexels-kindel-media-8823187 (2160p),libx264,1699015461.7135975,1484.0,3202.0625
pexels-kindel-media-8823187 (2160p),libx264,1699015461.915171,1524.0,3205.37109375
pexels-kindel-media-8823187 (2160p),libx264,1699015462.1321468,1398.4,3220.453125
pexels-kindel-media-8823187 (2160p),libx264,1699015462.3568373,1482.4,3223.98046875
pexels-kindel-media-8823187 (2160p),libx264,1699015462.5644126,1585.5,3214.34765625
pexels-kindel-media-8823187 (2160p),libx264,1699015462.7694306,1470.1,3227.87109375
pexels-kindel-media-8823187 (2160p),libx264,1699015462.9710076,1524.0,3229.4765625
pexels-kindel-media-8823187 (2160p),libx264,1699015463.1840947,1277.1,3230.89453125
pexels-kindel-media-8823187 (2160p),libx264,1699015463.393169,1231.5,3220.4609375
pexels-kindel-media-8823187 (2160p),libx264,1699015463.5956414,1385.5,3228.61328125
pexels-kindel-media-8823187 (2160p),libx264,1699015463.8144631,1534.0,3236.64453125
pexels-kindel-media-8823187 (2160p),libx264,1699015464.0238729,1508.6,3227.234375
pexels-kindel-media-8823187 (2160p),libx264,1699015464.2270966,1354.7,3229.77734375
pexels-kindel-media-8823187 (2160p),libx264,1699015464.4277892,1223.8,3207.5546875
pexels-kindel-media-8823187 (2160p),libx264,1699015464.630583,1524.0,3209.2421875
pexels-kindel-media-8823187 (2160p),libx264,1699015464.8398604,1512.6,3210.63671875
pexels-kindel-media-8823187 (2160p),libx264,1699015465.043558,1485.5,3210.78125
pexels-kindel-media-8823187 (2160p),libx264,1699015465.246131,1439.3,3211.05078125
pexels-kindel-media-8823187 (2160p),libx264,1699015465.454001,1570.2,3211.4609375
pexels-kindel-media-8823187 (2160p),libx264,1699015465.659446,1570.2,3211.83203125
pexels-kindel-media-8823187 (2160p),libx264,1699015465.872024,1462.6,3212.23828125
pexels-kindel-media-8823187 (2160p),libx264,1699015466.0748048,1585.6,3212.8359375
pexels-kindel-media-8823187 (2160p),libx264,1699015466.2756803,1629.0,3213.56640625
pexels-kindel-media-8823187 (2160p),libx264,1699015466.4830225,1419.2,3214.0078125
pexels-kindel-media-8823187 (2160p),libx264,1699015466.7014234,1441.2,3214.4375
pexels-kindel-media-8823187 (2160p),libx264,1699015466.902338,1000.6,3214.9296875
pexels-kindel-media-8823187 (2160p),libx264,1699015467.10263,432.2,3215.20703125
pexels-kindel-media-8823187 (2160p),libx264,1699015467.303104,377.2,3215.22265625
pexels-kindel-media-8823187 (2160p),libx264,1699015467.503505,69.3,2133.6875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015468.121142,0.0,109.984375
pexels-kindel-media-8823454 (2160p),mjpeg,1699015468.3217432,58.2,110.1875
